Time,Current,Voltage,Power,Module_Temp,weather_POA,weather_GHI,weather_DNI,weather_DHI,weather_Air_Temp,weather_RH,weather_Pressure,weather_Wind_speed,weather_Rain
2024-09-01 21:00,0,0.235,0,23.037,0,0,0,0,24.145,64.882,959.908,5.72,0
2024-09-01 21:10,0,0.248,0,22.728,0,0,0,0,23.727,66.806,960.069,6.117,0
2024-09-01 21:20,0,0.282,0,22.402,0,0,0,0,23.353,68.6,960.241,6.124,0
2024-09-01 21:30,0,0.29,0,22.109,0,0,0,0,23.087,69.985,960.341,5.656,0
2024-09-01 21:40,0,0.29,0,21.932,0,0,0,0,22.865,71.082,960.416,6.083,0
2024-09-01 21:50,0,0.29,0,21.686,0,0,0,0,22.505,72.718,960.547,6.387,0
2024-09-01 22:00,0,0.29,0,21.33,0,0,0,0,22.14,74.313,960.627,6.243,0
2024-09-01 22:10,0,0.29,0,21.059,0,0,0,0,21.782,75.867,960.723,6.465,0
2024-09-01 22:20,0,0.29,0,20.817,0,0,0,0,21.508,77.085,960.83,6.805,0
2024-09-01 22:30,0,0.294,0,20.595,0,0,0,0,21.356,77.79,960.899,6.239,0
2024-09-01 22:40,0,0.305,0,20.485,0,0,0,0,21.222,78.43,960.841,6.513,0
2024-09-01 22:50,0,0.334,0,20.334,0,0,0,0,21.06,79.322,960.866,6.624,0
2024-09-01 23:00,0,0.332,0,20.15,0,0,0,0,20.856,80.34,960.857,6.29,0
2024-09-01 23:10,0,0.341,0,20.049,0,0,0,0,20.717,80.97,960.853,6.125,0
2024-09-01 23:20,0,0.353,0,19.919,0,0,0,0,20.643,81.35,960.778,5.239,0
2024-09-01 23:30,0,0.38,0,19.951,0,0,0,0,20.598,81.57,960.782,4.962,0
2024-09-01 23:40,0,0.349,0,19.886,0,0,0,0,20.577,81.83,960.775,5.455,0
2024-09-01 23:50,0,0.364,0,19.869,0,0,0,0,20.554,82.04,960.757,4.65,0
2024-09-02 00:00,0,0.401,0,19.749,0,0,0,0,20.52,82.32,960.785,4.553,0
2024-09-02 00:10,0,0.403,0,19.743,0,0,0,0,20.431,82.69,960.758,4.439,0
2024-09-02 00:20,0,0.398,0,19.664,0,0,0,0,20.328,82.85,960.744,5.128,0
2024-09-02 00:30,0,0.416,0,19.571,0,0,0,0,20.269,83.08,960.625,4.53,0
2024-09-02 00:40,0,0.432,0,19.439,0,0,0,0,20.239,83.19,960.548,4.633,0
2024-09-02 00:50,0,0.4,0,19.503,0,0,0,0,20.276,82.91,960.438,4.269,0
2024-09-02 01:00,0,0.42,0,19.475,0,0,0,0,20.227,82.99,960.431,4.434,0
2024-09-02 01:10,0,0.441,0,19.468,0,0,0,0,20.189,83.22,960.371,4.027,0
2024-09-02 01:20,0,0.448,0,19.351,0,0,0,0,20.133,83.46,960.428,4.206,0
2024-09-02 01:30,0,0.484,0,19.303,0,0,0,0,20.117,83.62,960.509,3.272,0
2024-09-02 01:40,0,0.488,0,19.125,0,0,0,0,20.112,83.68,960.505,3.039,0
2024-09-02 01:50,0,0.507,0,19.095,0,0,0,0,20.097,83.71,960.415,3.199,0
2024-09-02 02:00,0,0.526,0,19.076,0,0,0,0,20.076,83.71,960.314,2.93,0
2024-09-02 02:10,0,0.512,0,18.932,0,0,0,0,20.022,83.87,960.22,2.55,0
2024-09-02 02:20,0,0.507,0,18.887,0,0,0,0,19.965,83.97,960.14,2.384,0
